V1,V2,V3
-5.34023562,4.7472463,3.82332607
-9.58706542,-3.43446551,9.70183939
-8.38501223,-3.90279369,8.51462008
5.7082258,2.65857479,5.40448245
-7.43166517,-4.39025105,9.00321635
5.028509,9.04769521,-8.54843651
6.37219562,4.45994039,4.36935755
-8.35525163,-3.51695636,7.16271385
-3.40526552,2.28142739,-7.63117179
5.62156138,3.43105644,4.66657363
-8.84016412,-3.81234109,8.80786358
-4.61692581,2.83368789,-7.96289974
4.94946903,3.57706667,5.14013488
3.70343606,8.61137549,-9.59257599
-5.1795348,4.8463202,4.24721594
-7.95099381,-3.75513267,9.51565272
-3.07076859,1.47953458,-7.79850529
4.00128095,9.65877107,-8.12242599
-4.42847662,6.65686938,4.00895955
-4.91662608,4.52706291,3.45985437
-7.36754369,-3.66265759,9.59661436
-1.39236828,0.98984384,-8.77572229
-5.18575661,7.62838338,4.34873261
-9.33855585,-4.07697147,7.49077986
-8.3473716,-2.39322402,10.06514846
10.34469203,-2.64093438,8.66066149
-0.97476618,2.97478707,-8.53008822
-3.40786306,3.24854313,-6.19404276
-1.36947289,2.1142807,-8.67632312
2.4369706,9.23242365,-9.95541369
-1.70617854,1.66601247,-7.9268549
-2.34049748,-0.05101276,-7.26979297
5.13307774,9.65324317,-8.22755652
4.47860799,9.96006984,-10.75615132
-9.11525282,-1.52176357,9.12851326
-4.54014196,5.81301663,2.73461296
4.13618317,8.31145323,-7.90357204
-5.97263413,6.72957119,4.24406454
-3.79872596,2.55320535,-7.51800226
-8.77099893,-2.76603266,9.58008012
3.4540394,8.02636513,-8.96504374
2.24380863,8.44432021,-8.64474101
2.94124047,9.3078413,-9.34031032
-3.69297625,6.04912323,3.02088667
4.10079663,8.9136573,-9.67032858
-7.24433689,-2.42665469,8.42902234
5.28934395,2.90515625,6.83857031
7.65107352,3.5041012,4.54323667
3.89755038,8.19403116,-8.50495696
6.00732033,3.17033237,3.80162997
4.95680678,4.86931721,3.35847728
4.28962784,8.44025449,-8.28012201
-2.52701507,2.89903674,-8.80825287
-2.57316647,1.2603038,-8.61121531
6.8457331,2.83556169,4.42855948
5.56586894,3.58547303,6.38014174
-4.36500448,6.98047231,4.1903933
6.28056286,4.09313772,4.38999722
-9.79229975,-5.29213902,10.76203353
3.40411038,9.35353829,-8.17053463
6.21130221,3.83848868,4.3659159
-5.21582739,4.25852428,3.9901113
10.64062428,-3.47600765,9.49437742
4.93270495,4.24779382,4.26236818
2.96300936,8.19542524,-10.35051007
5.63576941,3.56300912,4.85797586
-5.05417849,5.7403774,3.1689619
-4.26072049,6.51773545,2.9000841
-5.45865171,4.05727103,1.87396836
4.15904436,8.88106969,-10.13479574
2.1669988,8.70347008,-9.72944794
6.37876862,2.96879555,4.5831434
-1.54920423,3.68675988,-7.89780973
5.73407141,3.17412375,3.88296349
6.40837842,5.19459107,5.00562739
-2.71827605,0.74916694,-8.58455388
-8.90454249,-4.13474999,8.89824818
4.80975417,7.65750794,-8.53883658
6.369044,3.83310177,3.88437034
-1.40993477,2.42873792,-6.75821297
-2.85053053,2.11211451,-7.10981719
2.97956363,8.84969844,-7.7870634
-8.72157703,-3.48424759,8.95646275
-4.85801617,6.29138331,2.18874797
-5.27339307,5.03545157,5.04408956
-8.67293425,-4.1865386,8.17502236
-6.16591621,3.53160768,3.91398691
-6.04540195,6.55468387,4.9595981
-6.15178543,4.99771439,3.81938746
5.48943169,2.92135354,2.8331592
-0.07713301,1.5195989,-8.37143096
-2.71713552,2.49213997,-8.59667177
-3.8855629,1.93229341,-9.39347086
-8.22558206,-3.66133986,8.67797519
10.21227553,-3.49524486,9.33591127
5.24047389,2.98379997,5.10491468
-1.67554326,3.78011122,-8.06093994
2.97975122,10.77278272,-10.09314276
-5.15451901,5.97651538,2.79462218
-4.87850882,5.0966352,5.65978342